"LPAD(SKU,13,'0')"	"SKU"	"descr"	"Price"	"Type"
"0000000022135"	"022135"	"CANON INKCARTRIDGE PFI8106 YEL"		
"0000000022136"	"022136"	"CANON INKCARTRIDGE PFI8106 RED"		
"0000000022137"	"022137"	"CANON INKCARTRIDGE PFI102 MBLK"		
"0000000022138"	"022138"	"CANON INKCARTRIDGE PFI102 BLK"		
"0000000022139"	"022139"	"CANON INKCARTRIDGE PFI102 CYN"		
"0000000022140"	"022140"	"CANON INKCARTRIDGE PFI102 MAG"		
"0000000022141"	"022141"	"CANON INKCARTRIDGE PFI102 YEL"		
"0000000022142"	"022142"	"CANON INKCARTRIDGE PFI104 PMAG"		
"0000000022145"	"022145"	"100 MINLIGHTS RICEDROP XL1002"		
"0000000022146"	"022146"	"100 MINLIGHTS RICEDROP XL1002A"		
"0000000022147"	"022147"	"8F 100L RICE LIGHTS XL1004W"		
"0000000022148"	"022148"	"8F 100L RICE LIGHTS XL1004M"		
"0000000022152"	"022152"	"BROTHER LABELLER TAPE DK22243"		
"0000000022153"	"022153"	"HP TONER 507A CE400A BLK"		
"0000000022154"	"022154"	"HP TONER 507A CE401A CYN"		
"0000000022155"	"022155"	"HP TONER 507A CE402A YEL"		
"0000000022156"	"022156"	"HP TONER 507A CE403A MAG"		
"0000000022157"	"022157"	"BOARD VELLUM WHT 220GSM LTR10S"		
"0000000022158"	"022158"	"BOARD VELLUM WHT 220GSM LGL10S"		
"0000000022159"	"022159"	"BOARD VELLUM PCRM 220G LTR10S"		
"0000000022161"	"022161"	"PEN HOLDER ACRYLIC WHT 3X4IN"		
"0000000022162"	"022162"	"PEN HOLDER ACRYLIC BLK 3X4IN"		
"0000000022163"	"022163"	"CORKBOARD ALUMFRAME 18X12IN"		
"0000000022164"	"022164"	"CORKBOARD ALUMFRAME 3X4FT"		
"0000000022165"	"022165"	"WHITE/CORKBOARD COMBI 2X3FT"		
"0000000022168"	"022168"	"TRANSCEND USB OTG JD500G IOS"		
"0000000022170"	"022170"	"LOGITECH MOUSE WLS M171 GRY"		
"0000000022171"	"022171"	"LOGITECH MOUSE WLS M171 BLU"		
"0000000022172"	"022172"	"LOGITECH MOUSE WLS M171 RED"		
"0000000022173"	"022173"	"HI LIGHTER FRIXION YEL"		
"0000000022174"	"022174"	"HI LIGHTER FRIXION GRN"		
"0000000022175"	"022175"	"HI LIGHTER FRIXION PNK"		
"0000000022176"	"022176"	"HI LIGHTER FRIXION ORG"		
"0000000022177"	"022177"	"PARTS SATURN2 A4 ROLLERS"		
"0000000022178"	"022178"	"PARTS P48 ROCKER"		
"0000000022179"	"022179"	"PARTS SATURN2 A3 MAIN PCB"		
"0000000022180"	"022180"	"PARTS SATURN A3/A4 DRIVE GE"		
"0000000022181"	"022181"	"PARTS MARS MOTOR GEAR A3/A4"		
"0000000022182"	"022182"	"PARTS P35/36 CUTTING ASSEMBLY"		
"0000000022183"	"022183"	"PARTS SATURN2 MOTOR"		
"0000000022184"	"022184"	"PARTS COMIC A4 TOP HEAT ELE"		
"0000000022185"	"022185"	"PARTS COMIC BOTTOM HEAT ELE"		
"0000000022186"	"022186"	"PARTS 53C GEAR E"		
"0000000022187"	"022187"	"PARTS P20 GEAR E"		
"0000000022188"	"022188"	"PARTS P33 STRIPPER SET LEFT"		
"0000000022189"	"022189"	"PARTS P20 GEAR B"		
"0000000022190"	"022190"	"PARTS P38 GEAR B"		
"0000000022191"	"022191"	"PARTS P38 LONG SHAFT CUT ASSEM"		
"0000000022192"	"022192"	"PARTS P38SHORT SHAFT CUT AS"		
"0000000022193"	"022193"	"PARTS PS 70 STRIPPER SET 10"		
"0000000022194"	"022194"	"PARTS P35 SYNCHRONE GEAR"		
"0000000022195"	"022195"	"PARTS MARS MOTOR GEAR"		
"0000000022196"	"022196"	"PARTS P53 SPACER"		
"0000000022197"	"022197"	"PARTS P53 GEAR F"		
"0000000022198"	"022198"	"PARTS P53C UPPER STRIPPER"		
"0000000022199"	"022199"	"PARTS P53C LOWER STRIPPER"		
"0000000022200"	"022200"	"PARTS DS-1 STRIPPER UPPER"		
"0000000022201"	"022201"	"PARTS PS12 GEAR D"		
"0000000022202"	"022202"	"PARTS 53C GEAR D"		
"0000000022203"	"022203"	"PARTS P38 SPACER"		
"0000000022204"	"022204"	"PARTS UNIVERSAL ACTUATOR SW"		
"0000000022205"	"022205"	"PARTS P35 LOWER GEAR"		
"0000000022206"	"022206"	"PARTS P35 UPPER GEAR"		
"0000000022208"	"022208"	"PARTS VENUS/JUPI HEAT ELEMENT"		
"0000000022209"	"022209"	"PARTS P53 CD HELICAL"		
"0000000022210"	"022210"	"PARTS P53 HELICAL GEAR"		
"0000000022211"	"022211"	"PARTS PS12 GEAR C"		
"0000000022212"	"022212"	"PARTS PS12 GEAR A"		
"0000000022213"	"022213"	"PARTS PS12 SPACER A"		
"0000000022214"	"022214"	"PARTS SATURN2 BOTT HEAT ELE"		
"0000000022215"	"022215"	"PARTS SATURN2 TOP HEAT ELEM"		
"0000000022216"	"022216"	"PARTS SATURN A3 HEAT ELEM"		
"0000000022217"	"022217"	"PARTS MARS TOP HEAT ELEM"		
"0000000022218"	"022218"	"PARTS VENUS WIRE#2 BOT HEAT"		
"0000000022219"	"022219"	"PARTS VENUS WIRE#2 TOP HEAT"		
"0000000022220"	"022220"	"PARTS PS12 GEAR B"		
"0000000022221"	"022221"	"PARTS JUPITER CTRL PCB"		
"0000000022222"	"022222"	"PARTS VENUS LCD"		
"0000000022223"	"022223"	"PARTS JUP VOY. A3 ENTRY MOD"		
"0000000022224"	"022224"	"PARTS P38 GEAR C"		
"0000000022225"	"022225"	"PARTS P38 GEAR A"		
"0000000022226"	"022226"	"PARTS P38 SWITCH"		
"0000000022227"	"022227"	"PARTS P38 GEAR D"		
"0000000022228"	"022228"	"PARTS P-33/P28 SPACER"		
"0000000022229"	"022229"	"PARTS MARS A3/A4 MOTOR"		
"0000000022230"	"022230"	"PARTS SATURN2 CTRL PCB"		
"0000000022231"	"022231"	"PARTS SATURN A3 CTRL PCB"		
"0000000022232"	"022232"	"PARTS PCB W/ACTUATOR SWITCH"		
"0000000022233"	"022233"	"PARTS P20 CUTTER SHAFT GEAR"		
"0000000022234"	"022234"	"PARTS P20 GEAR A"		
"0000000022235"	"022235"	"PARTS P35 PCB"		
"0000000022236"	"022236"	"PARTS P20 ROCKER"		
"0000000022237"	"022237"	"PARTS P38 LEFT STRIPPER"		
"0000000022238"	"022238"	"PARTS P38 RIGHT STRIPPER"		
"0000000022239"	"022239"	"FUJIXEROX TRAY FOR S2011"		
"0000000022241"	"022241"	"BUBBLEMAILER #000 GKFT 4X7IN"		
"0000000022242"	"022242"	"CLIPBOARD CBPBFC ASSTD"		
"0000000022243"	"022243"	"CLIPBOARD CBPBA4 ASSTD"		
"0000000022244"	"022244"	"CLIPBOARD CBPBA5 ASSTD"		
"0000000022245"	"022245"	"CLIPBOARD CFPBFC ASSTD"		
"0000000022246"	"022246"	"CLIPBOARD CFPBA4 ASSTD"		
"0000000022247"	"022247"	"CLIPBOARD CFPBA5 ASSTD"		
"0000000022248"	"022248"	"FILECASE FC111 ASSTD LTR"		
"0000000022249"	"022249"	"FILECASE FC121 ASSTD LGL"		
"0000000022250"	"022250"	"FILECASE FC321 ASSTD LGL"		
"0000000022251"	"022251"	"XMAS TREE W/METAL XD5014 5FT"		
"0000000022252"	"022252"	"XMAS TREE W/METAL XD6014 6F"		
"0000000022253"	"022253"	"XMAS TREE W/METAL XD7014 7FT"		
"0000000022254"	"022254"	"SAMSUNG MONITOR 18.5IN"		
"0000000022255"	"022255"	"BROTHER PRINTER HLL5100DN"		
"0000000022256"	"022256"	"BROTHER TONER 3428 BLK"		
"0000000022257"	"022257"	"BROTHER DRUM DR3455"		
"0000000022258"	"022258"	"PARTS P-48C PCB"		
"0000000022259"	"022259"	"PARTS P-48C/60CS 1ST GEAR"		
"0000000022260"	"022260"	"PARTS P-48C MOTOR"		
"0000000022261"	"022261"	"PARTS P-48C UPPER STRIPPER"		
"0000000022262"	"022262"	"PARTS P-48 LOWER STRIPPER"		
"0000000022263"	"022263"	"PARTS P-48C RING"		
"0000000022264"	"022264"	"PARTS P-48C BUSHING HOLDER"		
"0000000022265"	"022265"	"PARTS DS-1 END CAP A"		
"0000000022266"	"022266"	"PARTS DS-1 STRIPPER SET UPP"		
"0000000022267"	"022267"	"WHITEBOARD ALUMFRAME 4X5FT"		
"0000000022268"	"022268"	"BROTHER INKCARTRIDGE LC665XL"		
"0000000022272"	"022272"	"ISD ARCHFILE 2IN GRN LGL"		
"0000000022273"	"022273"	"CANON PRINTER MG2570S"		
"0000000022326"	"022326"	"BROTHER LETTERTRAY LT5500"		
"0000000022327"	"022327"	"PARTS ORION COMB OPEN HANDL"		
"0000000022328"	"022328"	"RAPOO MOUSE WRD N1190 BLU"		
"0000000022329"	"022329"	"PARTS CUTTER GEAR"		
"0000000022330"	"022330"	"RAPOO MOUSE WRD N1190 RED"		
"0000000022331"	"022331"	"HP USB 2.0 V237W 16GB"		
"0000000022332"	"022332"	"SANDISK USB 2.0 CRUZER BLADE"		
"0000000022333"	"022333"	"SANDISK USB 2.0 CRUZER BLADE"		
"0000000022334"	"022334"	"SANDISK USB 2.0 CRUZER EDGE"		
"0000000022335"	"022335"	"SANDISK USB 2.0 CRUZER EDGE"		
"0000000022336"	"022336"	"SANDISK USB 2.0 CRUZER GLIDE"		
"0000000022337"	"022337"	"FUJIXEROX DRUM CT351075 S2011"		
"0000000022338"	"022338"	"CANON CALC PRINTING MP121MG"		
"0000000022339"	"022339"	"CANON CALC PRINTING MP1200FTS"		
"0000000022340"	"022340"	"HP TONER 128A CE320A BLK"		
"0000000022341"	"022341"	"HP TONER 128A CE321A CYN"		
"0000000022342"	"022342"	"HP TONER 128A CE322A YEL"		
